Khrunov, Yevgeny;1;M-USSR;Soyuz 4-5;STS-118;STS-124;;
Kilrain, Susan;2;F-US;STS-83;;Soyuz TMA-01M/24S;;
Kimbrough, Robert;1;M-US;STS-126;;;STS-134;
Kizim, Leonid;3;M-USSR;Soyuz T3;STS-94;;;
Klimuk, Pyotr;3;M-USSR;Soyuz 13;;;;
Komarov, Vladimir;2;M-USSR;Voskhod 1;Soyuz T10;;;
Kondakova, Elena;2;F-Russia;Soyuz TM-20;Soyuz 18;Soyuz T15;;
Kondratyev, Dmitri;1;M-Russia;Soyuz TMA-20/25S;Soyuz 1;Soyuz 30;;
Kononenko, Oleg;2;M-Russia;Soyuz TMA-12/16S;STS-84;;;
Kopra, Timothy;1;M-US;STS-127/ISS/128;;;;
Kornienko, Mikhail;1;M-Russia;Soyuz TMA-18/22S;Soyuz TMA-03M/29S;;;
Korzun, Valery;2;M-Russia;Soyuz TM-24;;;;
Kotov, Oleg;2;M-Russia;Soyuz TMA-10/14S;;;;
Kovalenok, Vladimir;3;M-USSR;Soyuz 25;STS-111/ISS/113;;;
Kozeev, Konstantin;1;M-Russia;Soyuz TM-33/3S;Soyuz TMA-17/21S;;;
Kregel, Kevin;4;M-US;STS-70;Soyuz 29;;;
Krikalev, Sergei;6;M-USSR;Soyuz TM-7;;Soyuz T4;;
Kubasov, Valery;3;M-USSR;Soyuz 6;Soyuz TM-12;STS-87;;
Kuipers, Andre;2;M-Netherlands;Soyuz TMA-04/8S;;STS-60;;
Laliberte, Guy;1;M-Canada;SoyuzTMA16;;;;
Laveikin, Alexander;1;M-USSR;Soyuz TM-2;;;;
Lawrence, Wendy;4;F-US;STS-67;;;;
Lazarev, Vasily;2;M-USSR;Soyuz 12;;;;
Lazutkin, Alexander;1;M-Russia;Soyuz TM-25;STS-86;;;
Lebedev, Valentin;2;M-USSR;Soyuz 13;Soyuz 18A;STS-91;;
Lee, Mark;4;M-US;STS-30;;;;
Leestma, David;3;M-US;STS-41G;Soyuz T5;;STS-114;
Lenoir, William;1;M-US;STS-5;STS-47;;;
Leonov, Alexei;2;M-USSR;Voskhod 2;STS-28;STS-54;;
